"name","tile_url"
"gee_naip_2003",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/fb71646388b91922f417a08f7d65f724-8c93b953e044f237c08c66a2f7e7ae8c/tiles/{z}/{x}/{y}
"gee_naip_2004",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/4ac3fd24bb4117dda66cc656e0d395af-7a762958e613d0e9406710110f8c4ba0/tiles/{z}/{x}/{y}
"gee_naip_2006",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/9d85ff18fd3ea1ff6517171385fade73-f3848ea2fd4fb213726ea8f97d890a8a/tiles/{z}/{x}/{y}
"gee_naip_2009",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/e9b32635b8b2add3113fcabe187d3950-8b0ea93e91d266f1efd3bd5470d81608/tiles/{z}/{x}/{y}
"gee_naip_ir_2009",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/b6ae78ab03aa989af4b35d4e21664823-e8a39f2fed60cedb954273d55c3b4766/tiles/{z}/{x}/{y}
"gee_naip_2010",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/b9ff14d0178c6aa1bdc7cd549d0a4749-b099ef00db5ab624e3725562eff867aa/tiles/{z}/{x}/{y}
"gee_naip_ir_2010",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/64d72f4f428c418cdb241b376310c6e6-31cc4ae48e75a9bcade9f0db1725144d/tiles/{z}/{x}/{y}
"gee_naip_2005",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/d1229bee9e355d8de65308e5e9874b37-c33fb0e1e24def812ffa508d9c19ef0d/tiles/{z}/{x}/{y}
"gee_naip_2012",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/6cb210348030cc4285f7e5cfd0e48da2-fa607364e7be822f1ad79dd67b26662a/tiles/{z}/{x}/{y}
"gee_naip_ir_2012",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/de240f5d4e9c7063b697bb8904a59120-513c3665dd0c5e1f52801cc71d3bdd81/tiles/{z}/{x}/{y}
"gee_naip_2014",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/8096b20c830156866adf18d070e01671-76ce8fddb8c280d9c61f8d686ae09f04/tiles/{z}/{x}/{y}
"gee_naip_ir_2014",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/3e5b28167abaa748734c8ae34914b307-d8fa68ce04afbd8851160eada7b79f79/tiles/{z}/{x}/{y}
"gee_naip_2016",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/53eb92766b00f27598bc0511c944eccf-53529faae44f99991e8448093861ce8f/tiles/{z}/{x}/{y}
"gee_naip_ir_2016",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/72247f70d40b8d8c5740398a359e7bcd-cda40521857206d8b9883d04d72a8de3/tiles/{z}/{x}/{y}
"gee_naip_2018",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/694cce1cf23e2fec536fe39f2f560a39-be53a51d11fc4a27ccee16fb4af85343/tiles/{z}/{x}/{y}
"gee_naip_ir_2018",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/3f726bf10ae4eb0b983c429295e97925-ef85fd9495a9b2df98218bb1a4346507/tiles/{z}/{x}/{y}
"gee_naip_2022",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/79f4ca9ff1f3b7cf3fdb7fec07ca82ad-35bc522ede31838608ff6180c8c7fcf9/tiles/{z}/{x}/{y}
"gee_naip_ir_2022",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/b46ca1d8953196cdac0a71d25343e81d-e79e289eb3535e9a2e91dd5d99142134/tiles/{z}/{x}/{y}
"gee_naip_2020",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/90b2a6404112c7bc5e29d30f5911c8de-8f031795e2906a474fd95c1d3c4a6fce/tiles/{z}/{x}/{y}
"gee_naip_ir_2020",https://earthengine.googleapis.com/v1/projects/mygee-project-01/maps/7992ce0771cae503f48d9a4e0b28703c-27ee3deb01f9d78b829467224e1e30f7/tiles/{z}/{x}/{y}